text,language,split
"Python es un lenguaje de programación de alto nivel conocido por su simplicidad y legibilidad. El Renacimiento fue un período de renacimiento cultural que transformó el arte, la literatura y la ciencia europeas.",spa,val
L'éducation est fondamentale pour la croissance personnelle et le progrès sociétal dans le monde moderne. L'exploration spatiale a élargi notre compréhension de l'univers et de notre place dans celui-ci.,fra,test
La computación cuántica representa un cambio de paradigma en el poder computacional y las capacidades de resolución. El procesamiento del lenguaje natural permite a las computadoras entender el lenguaje humano de manera valiosa.,spa,train
La democracia requiere participación activa de los ciudadanos para funcionar efectivamente y representar diversos intereses. La educación es fundamental para el crecimiento personal y el progreso social en el mundo moderno.,spa,train
L'apprentissage automatique est un sous-ensemble de l'intelligence artificielle qui se concentre sur les algorithmes. Les sources d'énergie renouvelable comme le solaire et l'éolien sont essentielles pour le développement durable.,fra,train
"La ciencia de datos combina estadísticas, programación y experiencia del dominio para extraer insights. La educación es fundamental para el crecimiento personal y el progreso social en el mundo moderno.",spa,train
"Internet a révolutionné la communication, le commerce et l'accès à l'information à l'échelle mondiale. L'exploration spatiale a élargi notre compréhension de l'univers et de notre place dans celui-ci.",fra,val
Le renard brun rapide saute par-dessus le chien paresseux. Ceci est un exemple de texte français. La recherche médicale continue d'améliorer les traitements et la qualité de vie de millions de personnes.,fra,train
"Internet ha revolucionado la comunicación, el comercio y el acceso a la información a nivel global. El zorro marrón rápido salta sobre el perro perezoso. Este es un ejemplo de texto en español.",spa,val
Les sources d'énergie renouvelable comme le solaire et l'éolien sont essentielles pour le développement durable. Le traitement du langage naturel permet aux ordinateurs de comprendre le langage humain de manière précise.,fra,train
"El cambio climático es uno de los desafíos más urgentes que enfrenta la humanidad en el siglo XXI. Internet ha revolucionado la comunicación, el comercio y el acceso a la información a nivel global.",spa,train
Natural language processing enables computers to understand and process human language in valuable ways. The quick brown fox jumps over the lazy dog. This is a sample English text for language identification.,eng,test
"Internet a révolutionné la communication, le commerce et l'accès à l'information à l'échelle mondiale. L'éducation est fondamentale pour la croissance personnelle et le progrès sociétal dans le monde moderne.",fra,train
"La ciencia de datos combina estadísticas, programación y experiencia del dominio para extraer insights. El zorro marrón rápido salta sobre el perro perezoso. Este es un ejemplo de texto en español.",spa,test
Les sources d'énergie renouvelable comme le solaire et l'éolien sont essentielles pour le développement durable. Le renard brun rapide saute par-dessus le chien paresseux. Ceci est un exemple de texte français.,fra,train
"El Renacimiento fue un período de renacimiento cultural que transformó el arte, la literatura y la ciencia europeas. El zorro marrón rápido salta sobre el perro perezoso. Este es un ejemplo de texto en español.",spa,val
Education is fundamental to personal growth and societal progress in the modern world. Space exploration has expanded our understanding of the universe and our place within it.,eng,test
L'informatique quantique représente un changement de paradigme dans la puissance computationnelle. L'apprentissage automatique est un sous-ensemble de l'intelligence artificielle qui se concentre sur les algorithmes.,fra,train
La diversidad cultural enriquece las comunidades y promueve la comprensión entre diferentes grupos. Python es un lenguaje de programación de alto nivel conocido por su simplicidad y legibilidad.,spa,train
La diversidad cultural enriquece las comunidades y promueve la comprensión entre diferentes grupos. La exploración espacial ha ampliado nuestra comprensión del universo y nuestro lugar en él.,spa,train
The quick brown fox jumps over the lazy dog. This is a sample English text for language identification. Space exploration has expanded our understanding of the universe and our place within it.,eng,val
Medical research continues to advance treatments and improve quality of life for millions. Education is fundamental to personal growth and societal progress in the modern world.,eng,val
Python es un lenguaje de programación de alto nivel conocido por su simplicidad y legibilidad. La democracia requiere participación activa de los ciudadanos para funcionar efectivamente y representar diversos intereses.,spa,val
"La diversidad cultural enriquece las comunidades y promueve la comprensión entre diferentes grupos. El Renacimiento fue un período de renacimiento cultural que transformó el arte, la literatura y la ciencia europeas.",spa,val
Education is fundamental to personal growth and societal progress in the modern world. Democracy requires active participation from citizens to function effectively and represent diverse interests.,eng,test
El zorro marrón rápido salta sobre el perro perezoso. Este es un ejemplo de texto en español. La exploración espacial ha ampliado nuestra comprensión del universo y nuestro lugar en él.,spa,train
"La Renaissance fut une période de renouveau culturel qui transforma l'art, la littérature et la science européennes. Le changement climatique est l'un des défis les plus pressants auxquels l'humanité est confrontée.",fra,test
Cultural diversity enriches communities and promotes understanding between different groups.,eng,test
"La diversidad cultural enriquece las comunidades y promueve la comprensión entre diferentes grupos. Internet ha revolucionado la comunicación, el comercio y el acceso a la información a nivel global.",spa,val
"El zorro marrón rápido salta sobre el perro perezoso. Este es un ejemplo de texto en español. La ciencia de datos combina estadísticas, programación y experiencia del dominio para extraer insights.",spa,test
Cultural diversity enriches communities and promotes understanding between different groups. Climate change is one of the most pressing challenges facing humanity in the 21st century.,eng,val
"Machine learning is a subset of artificial intelligence that focuses on algorithms and statistical models. The internet has revolutionized communication, commerce, and access to information globally.",eng,train
Python is a high-level programming language known for its simplicity and readability. Quantum computing represents a paradigm shift in computational power and problem-solving capabilities.,eng,test
La exploración espacial ha ampliado nuestra comprensión del universo y nuestro lugar en él. El aprendizaje automático es un subconjunto de la inteligencia artificial que se enfoca en algoritmos.,spa,train
La educación es fundamental para el crecimiento personal y el progreso social en el mundo moderno. El procesamiento del lenguaje natural permite a las computadoras entender el lenguaje humano de manera valiosa.,spa,train
"Data science combines statistics, programming, and domain expertise to extract insights from data. Education is fundamental to personal growth and societal progress in the modern world.",eng,train
"The internet has revolutionized communication, commerce, and access to information globally. The quick brown fox jumps over the lazy dog. This is a sample English text for language identification.",eng,train
Medical research continues to advance treatments and improve quality of life for millions. Climate change is one of the most pressing challenges facing humanity in the 21st century.,eng,train
"La Renaissance fut une période de renouveau culturel qui transforma l'art, la littérature et la science européennes. L'exploration spatiale a élargi notre compréhension de l'univers et de notre place dans celui-ci.",fra,val
La diversité culturelle enrichit les communautés et favorise la compréhension entre différents groupes. L'informatique quantique représente un changement de paradigme dans la puissance computationnelle.,fra,train
"Internet a révolutionné la communication, le commerce et l'accès à l'information à l'échelle mondiale. Python est un langage de programmation de haut niveau connu pour sa simplicité et sa lisibilité.",fra,test
Python est un langage de programmation de haut niveau connu pour sa simplicité et sa lisibilité. L'apprentissage automatique est un sous-ensemble de l'intelligence artificielle qui se concentre sur les algorithmes.,fra,train
"La science des données combine statistiques, programmation et expertise du domaine pour extraire des insights. La Renaissance fut une période de renouveau culturel qui transforma l'art, la littérature et la science européennes.",fra,test
La diversité culturelle enrichit les communautés et favorise la compréhension entre différents groupes. L'éducation est fondamentale pour la croissance personnelle et le progrès sociétal dans le monde moderne.,fra,train
La democracia requiere participación activa de los ciudadanos para funcionar efectivamente y representar diversos intereses. El procesamiento del lenguaje natural permite a las computadoras entender el lenguaje humano de manera valiosa.,spa,val
La investigación médica continúa avanzando en tratamientos y mejorando la calidad de vida de millones. El cambio climático es uno de los desafíos más urgentes que enfrenta la humanidad en el siglo XXI.,spa,train
"The Renaissance was a period of cultural rebirth that transformed European art, literature, and science. Renewable energy sources like solar and wind power are essential for sustainable development.",eng,train
"Cultural diversity enriches communities and promotes understanding between different groups. Data science combines statistics, programming, and domain expertise to extract insights from data.",eng,train
La computación cuántica representa un cambio de paradigma en el poder computacional y las capacidades de resolución. El cambio climático es uno de los desafíos más urgentes que enfrenta la humanidad en el siglo XXI.,spa,train
"L'éducation est fondamentale pour la croissance personnelle et le progrès sociétal dans le monde moderne. La science des données combine statistiques, programmation et expertise du domaine pour extraire des insights.",fra,train
El aprendizaje automático es un subconjunto de la inteligencia artificial que se enfoca en algoritmos. La computación cuántica representa un cambio de paradigma en el poder computacional y las capacidades de resolución.,spa,train
"Internet ha revolucionado la comunicación, el comercio y el acceso a la información a nivel global. Python es un lenguaje de programación de alto nivel conocido por su simplicidad y legibilidad.",spa,train
El procesamiento del lenguaje natural permite a las computadoras entender el lenguaje humano de manera valiosa. El aprendizaje automático es un subconjunto de la inteligencia artificial que se enfoca en algoritmos.,spa,val
"La ciencia de datos combina estadísticas, programación y experiencia del dominio para extraer insights. Python es un lenguaje de programación de alto nivel conocido por su simplicidad y legibilidad.",spa,test
La computación cuántica representa un cambio de paradigma en el poder computacional y las capacidades de resolución. La exploración espacial ha ampliado nuestra comprensión del universo y nuestro lugar en él.,spa,train
Cultural diversity enriches communities and promotes understanding between different groups. Medical research continues to advance treatments and improve quality of life for millions.,eng,train
"Education is fundamental to personal growth and societal progress in the modern world. Data science combines statistics, programming, and domain expertise to extract insights from data.",eng,train
Les sources d'énergie renouvelable comme le solaire et l'éolien sont essentielles pour le développement durable. L'informatique quantique représente un changement de paradigme dans la puissance computationnelle.,fra,train
Le changement climatique est l'un des défis les plus pressants auxquels l'humanité est confrontée. Les sources d'énergie renouvelable comme le solaire et l'éolien sont essentielles pour le développement durable.,fra,train
Le changement climatique est l'un des défis les plus pressants auxquels l'humanité est confrontée. La recherche médicale continue d'améliorer les traitements et la qualité de vie de millions de personnes.,fra,train
"Internet ha revolucionado la comunicación, el comercio y el acceso a la información a nivel global. El cambio climático es uno de los desafíos más urgentes que enfrenta la humanidad en el siglo XXI.",spa,train
"El zorro marrón rápido salta sobre el perro perezoso. Este es un ejemplo de texto en español. Internet ha revolucionado la comunicación, el comercio y el acceso a la información a nivel global.",spa,train
L'exploration spatiale a élargi notre compréhension de l'univers et de notre place dans celui-ci. Le changement climatique est l'un des défis les plus pressants auxquels l'humanité est confrontée.,fra,train
Space exploration has expanded our understanding of the universe and our place within it. Natural language processing enables computers to understand and process human language in valuable ways.,eng,train
La exploración espacial ha ampliado nuestra comprensión del universo y nuestro lugar en él. La investigación médica continúa avanzando en tratamientos y mejorando la calidad de vida de millones.,spa,train
La exploración espacial ha ampliado nuestra comprensión del universo y nuestro lugar en él. La diversidad cultural enriquece las comunidades y promueve la comprensión entre diferentes grupos.,spa,train
La recherche médicale continue d'améliorer les traitements et la qualité de vie de millions de personnes. Le traitement du langage naturel permet aux ordinateurs de comprendre le langage humain de manière précise.,fra,train
"Quantum computing represents a paradigm shift in computational power and problem-solving capabilities. Data science combines statistics, programming, and domain expertise to extract insights from data.",eng,val
"L'apprentissage automatique est un sous-ensemble de l'intelligence artificielle qui se concentre sur les algorithmes. Internet a révolutionné la communication, le commerce et l'accès à l'information à l'échelle mondiale.",fra,val
"Data science combines statistics, programming, and domain expertise to extract insights from data. Space exploration has expanded our understanding of the universe and our place within it.",eng,train
Education is fundamental to personal growth and societal progress in the modern world. Renewable energy sources like solar and wind power are essential for sustainable development.,eng,train
"The internet has revolutionized communication, commerce, and access to information globally. Cultural diversity enriches communities and promotes understanding between different groups.",eng,train
"L'éducation est fondamentale pour la croissance personnelle et le progrès sociétal dans le monde moderne. Internet a révolutionné la communication, le commerce et l'accès à l'information à l'échelle mondiale.",fra,train
L'éducation est fondamentale pour la croissance personnelle et le progrès sociétal dans le monde moderne. L'informatique quantique représente un changement de paradigme dans la puissance computationnelle.,fra,train
"Internet ha revolucionado la comunicación, el comercio y el acceso a la información a nivel global. El procesamiento del lenguaje natural permite a las computadoras entender el lenguaje humano de manera valiosa.",spa,train
Las fuentes de energía renovable como la solar y eólica son esenciales para el desarrollo sostenible. La democracia requiere participación activa de los ciudadanos para funcionar efectivamente y representar diversos intereses.,spa,test
Python is a high-level programming language known for its simplicity and readability. Quantum computing represents a paradigm shift in computational power and problem-solving capabilities.,eng,train
"Renewable energy sources like solar and wind power are essential for sustainable development. The Renaissance was a period of cultural rebirth that transformed European art, literature, and science.",eng,train
Democracy requires active participation from citizens to function effectively and represent diverse interests. Education is fundamental to personal growth and societal progress in the modern world.,eng,train
El procesamiento del lenguaje natural permite a las computadoras entender el lenguaje humano de manera valiosa. La democracia requiere participación activa de los ciudadanos para funcionar efectivamente y representar diversos intereses.,spa,train
"L'informatique quantique représente un changement de paradigme dans la puissance computationnelle. La Renaissance fut une période de renouveau culturel qui transforma l'art, la littérature et la science européennes.",fra,train
"La Renaissance fut une période de renouveau culturel qui transforma l'art, la littérature et la science européennes. Internet a révolutionné la communication, le commerce et l'accès à l'information à l'échelle mondiale.",fra,train
"The internet has revolutionized communication, commerce, and access to information globally. Education is fundamental to personal growth and societal progress in the modern world.",eng,train
"Space exploration has expanded our understanding of the universe and our place within it. The internet has revolutionized communication, commerce, and access to information globally.",eng,train
La educación es fundamental para el crecimiento personal y el progreso social en el mundo moderno. Python es un lenguaje de programación de alto nivel conocido por su simplicidad y legibilidad.,spa,train
L'éducation est fondamentale pour la croissance personnelle et le progrès sociétal dans le monde moderne. La diversité culturelle enrichit les communautés et favorise la compréhension entre différents groupes.,fra,train
Climate change is one of the most pressing challenges facing humanity in the 21st century. The quick brown fox jumps over the lazy dog. This is a sample English text for language identification.,eng,train
El aprendizaje automático es un subconjunto de la inteligencia artificial que se enfoca en algoritmos. La diversidad cultural enriquece las comunidades y promueve la comprensión entre diferentes grupos.,spa,train
La computación cuántica representa un cambio de paradigma en el poder computacional y las capacidades de resolución. El zorro marrón rápido salta sobre el perro perezoso. Este es un ejemplo de texto en español.,spa,train
Education is fundamental to personal growth and societal progress in the modern world. Python is a high-level programming language known for its simplicity and readability.,eng,train
L'informatique quantique représente un changement de paradigme dans la puissance computationnelle. Python est un langage de programmation de haut niveau connu pour sa simplicité et sa lisibilité.,fra,val
Quantum computing represents a paradigm shift in computational power and problem-solving capabilities. Cultural diversity enriches communities and promotes understanding between different groups.,eng,train
L'apprentissage automatique est un sous-ensemble de l'intelligence artificielle qui se concentre sur les algorithmes. Python est un langage de programmation de haut niveau connu pour sa simplicité et sa lisibilité.,fra,train
"La democracia requiere participación activa de los ciudadanos para funcionar efectivamente y representar diversos intereses. La ciencia de datos combina estadísticas, programación y experiencia del dominio para extraer insights.",spa,test
La investigación médica continúa avanzando en tratamientos y mejorando la calidad de vida de millones. El aprendizaje automático es un subconjunto de la inteligencia artificial que se enfoca en algoritmos.,spa,val
Les sources d'énergie renouvelable comme le solaire et l'éolien sont essentielles pour le développement durable. Le renard brun rapide saute par-dessus le chien paresseux. Ceci est un exemple de texte français.,fra,train
La démocratie nécessite une participation active des citoyens pour fonctionner efficacement. Le changement climatique est l'un des défis les plus pressants auxquels l'humanité est confrontée.,fra,train
"Internet ha revolucionado la comunicación, el comercio y el acceso a la información a nivel global. Las fuentes de energía renovable como la solar y eólica son esenciales para el desarrollo sostenible.",spa,train
"L'apprentissage automatique est un sous-ensemble de l'intelligence artificielle qui se concentre sur les algorithmes. Internet a révolutionné la communication, le commerce et l'accès à l'information à l'échelle mondiale.",fra,val
Renewable energy sources like solar and wind power are essential for sustainable development. Cultural diversity enriches communities and promotes understanding between different groups.,eng,train
"The Renaissance was a period of cultural rebirth that transformed European art, literature, and science. Climate change is one of the most pressing challenges facing humanity in the 21st century.",eng,train
